cluster_id;id;titel;quelle;lizenz;aehnlichkeit;vorschlag
C001;ps-drachenschwanzjagen;Drachenschwanzjagen;pfadfinder-spiele;CC BY-NC-SA 4.0;0.77;als Variante verweisen (Lizenz nicht mischen!)
C001;sw-drachenschwanzabschiessen;Drachenschwanzabschießen;Spielewiki;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C001;sw-drachenschwanzfangen-einzeln;Drachenschwanzfangen (einzeln);Spielewiki;CC BY-SA 4.0;0.76;als Variante zusammenlegen
C001;sw-drachenschwanzfangen-gruppenweise;Drachenschwanzfangen (gruppenweise);Spielewiki;CC BY-SA 4.0;0.76;als Variante zusammenlegen
C002;eig-evolution;Evolution;eigene;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C002;ps-evolution;Evolution;pfadfinder-spiele;CC BY-NC-SA 4.0;1.0;als Variante verweisen (Lizenz nicht mischen!)
C002;sw-evolution;Evolution;Spielewiki;CC BY-SA 4.0;1.0;streichen (praktisch identisch)
C002;sw-evolution-sprachspiel;Evolution (Sprachspiel);Spielewiki;CC BY-SA 4.0;1.0;streichen (praktisch identisch)
C003;insp-versteinern;Versteinern;Inspirator (DPBM);CC BY-NC 4.0;0.32;als Variante verweisen (Lizenz nicht mischen!)
C003;sw-captain-hook-und-peter-pan;Captain Hook und Peter Pan;Spielewiki;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C003;sw-schlumpfe-versteinern;Schlümpfe-Versteinern;Spielewiki;CC BY-SA 4.0;0.45;als Variante zusammenlegen
C003;sw-versteinern;Versteinern;Spielewiki;CC BY-SA 4.0;0.71;als Variante zusammenlegen
C004;insp-alle-die-obstsalat;Alle, die… (Obstsalat);Inspirator (DPBM);CC BY-NC 4.0;0.39;als Variante verweisen (Lizenz nicht mischen!)
C004;ps-angesprochen;Angesprochen;pfadfinder-spiele;CC BY-NC-SA 4.0;0.35;als Variante verweisen (Lizenz nicht mischen!)
C004;sw-platztausch;Platztausch;Spielewiki;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C005;sw-bilderkim;Bilderkim;Spielewiki;CC BY-SA 4.0;0.42;als Variante zusammenlegen
C005;sw-merkkim;Merkkim;Spielewiki;CC BY-SA 4.0;0.76;als Variante zusammenlegen
C005;sw-tastkim;Tastkim;Spielewiki;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C006;sw-blitzlicht-reflexion;Blitzlicht-Reflexion;Spielewiki;CC BY-SA 4.0;0.67;als Variante zusammenlegen
C006;sw-streichholz-reflexion;Streichholz-Reflexion;Spielewiki;CC BY-SA 4.0;0.6;als Variante zusammenlegen
C006;sw-zielscheiben-reflexion;Zielscheiben-Reflexion;Spielewiki;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C007;ps-british-bulldog;British Bulldog;pfadfinder-spiele;CC BY-NC-SA 4.0;1.0;als Variante verweisen (Lizenz nicht mischen!)
C007;sw-british-bulldog;British Bulldog;Spielewiki;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C007;sw-wer-hat-angst-vorm-schwarzen-mann;Wer hat Angst vorm weißen Hai?;Spielewiki;CC BY-SA 4.0;0.63;als Variante zusammenlegen
C008;sw-frisbee-fussball;Frisbee-Fußball;Spielewiki;CC BY-SA 4.0;1.0;behalten (Hauptelement)
C008;sw-frisbee-passen;Frisbee-Passen;Spielewiki;CC BY-SA 4.0;0.67;als Variante zusammenlegen
C008;sw-frisbeelauf;Frisbeelauf;Spielewiki;CC BY-SA 4.0;0.59;als Variante zusammenlegen
C009;insp-ich-packe-meinen-koffer;Ich packe meinen Koffer ...;Inspirator (DPBM);CC BY-NC 4.0;0.71;als Variante verweisen (Lizenz nicht mischen!)
C009;ps-ich-packe-meinen-koffer;Ich packe meinen Koffer;pfadfinder-spiele;CC BY-NC-SA 4.0;0.71;als Variante verweisen (Lizenz nicht mischen!)
