begriff;elemente;treffer;im_titel;quellen;beispiel_ids;herkunft;vorschlag;frage
Spielleiter / Spielleitung;203;328;0;Spielewiki (167), pfadfinder-spiele (28), Inspirator (DPBM) (6), eigene (2);sw-lexikonspiel, sw-mafia, ps-chaos-spiel;Spielesammlungen allgemein;Neutral, aber der mit Abstand häufigste Rollenbegriff in den Daten.;„Spielleitung“ so lassen, oder überall „Gruppenführer“ – auch wenn ein Kind das Spiel leitet?
Anrede: „ihr müsst/sollt/könnt“;95;116;0;Inspirator (DPBM) (88), Probenbuch (5), Spielewiki (2);insp-kartoffelbatterie, insp-korken-piratenschiff, insp-butter-schuetteln;Inspirator (spricht die Gruppe direkt an);Der Inspirator redet die Gruppe an, Spielewiki beschreibt neutral – zwei Tonfälle in einer App.;Welchen Tonfall soll die App haben: neutrale Beschreibung oder Ansprache an den Gruppenführer?
Sippe / Sippling / Sippenführer;88;227;11;Inspirator (DPBM) (79), eigene (9);insp-25-dinge-eure-sippen-bucket-list, insp-digitaler-sippencontest, insp-eigene-sippenchronik;DPBM (Inspirator), DPSG, VCP – und die eigene Sammlung;"Im DPB-Probenbuch heißt die kleinste Einheit „Horte“ (Jungen) bzw. „Gilde“ (Mädchen); „Sippe“ kommt dort nicht vor. ACHTUNG: die eigene Sammlung benutzt „Sippe“ trotzdem, auch in Titeln wie „Sippenwimpel gestalten“.";Heißt die kleine Gruppe bei euch Sippe oder Horte/Gilde? Einmal festlegen – davon hängen rund 90 Elemente und mehrere eigene Titel ab.
Gender-Doppelpunkt (:in);77;263;0;pfadfinder-spiele (77);ps-steinsuche, ps-british-bulldog, ps-dirigent;pfadfinder-spiele.de;Betrifft fast jeden Text dieser Quelle – wäre eine Massenänderung. CC BY-NC-SA erlaubt Bearbeitung, wenn sie gekennzeichnet wird.;Umschreiben (mit Änderungshinweis) oder als Zitat der Quelle so lassen?
Corona / online / digital;73;113;3;Spielewiki (46), Inspirator (DPBM) (19), pfadfinder-spiele (7), Probenbuch (1);sw-schere-stein-papier-online, sw-pubquiz, insp-online-treffen-gather-town;Inspirator 2020/21, teils Spielewiki;Zeitgebundene Inhalte aus der Pandemie.;Corona-/Online-Elemente streichen, oder als eigenen Filter „geht auch digital“ behalten?
Stamm / Hag;31;53;0;Inspirator (DPBM) (19), eigene (7), Probenbuch (5);eig-bipi-und-unsere-geschichte, pb-organisatorischer-aufbau, insp-nachbarstamm-connection;DPB und andere Bünde;„Stamm / Hag“ ist im DPB-Probenbuch belegt (ab 20 Mitglieder) – passt vermutlich.;So lassen? Oder die Fundstellen prüfen, wo „Stamm“ eine fremde Struktur meint?
Wölfling / Wö / Altwolf;25;75;2;Inspirator (DPBM) (15), Probenbuch (8), Spielewiki (2);pb-das-pfadfindergesetz, pb-pfadfindergruss-und-pfadfinderversprechen, insp-marionette;alle Bünde, Wortgebrauch verschieden;„Wölfling“ ist im DPB-Probenbuch belegt (8–11 Jahre) – passt vermutlich.;„Wölfling“ so lassen? Und gilt die Altersspanne 8–11 wie im Probenbuch?
Halstuch;24;45;0;Spielewiki (10), Inspirator (DPBM) (7), Probenbuch (4), eigene (2), pfadfinder-spiele (1);pb-unsere-kluft, insp-halstuchspiel, sw-drachenschwanzfangen-einzeln;alle Bünde;Unproblematisch – nur prüfen, wo es reines Spielmaterial ist.;Als Spielmaterial „Halstuch“ schreiben oder neutral „Tuch“ (dann geht auch ein Geschirrtuch)?
Gruppenstunde / Truppstunde / Stufenstunde;19;33;1;Inspirator (DPBM) (12), Spielewiki (4), pfadfinder-spiele (2), eigene (1);insp-haiku-schreiben, insp-rollenspielprojekt-ueber-mehrere-wochen, ps-chaos-spiel;DPSG, VCP, DPBM;Deine Sprache: „Heimabend“. Das Probenbuch benutzt durchgängig „Heimabend“.;Überall zu „Heimabend“ ändern – auch dort, wo es wörtliches Zitat der Quelle ist?
Kohte / Jurte;19;112;5;Inspirator (DPBM) (11), Probenbuch (5), eigene (2), Spielewiki (1);pb-zeltbau, insp-neue-zeltkonstruktionen-testen, pb-knoten-und-buende;bündisch, auch DPB;Passt zum DPB (Probenbuch: Probe „Zeltbau“).;Bleiben Kohte/Jurte so stehen? Passen die beschriebenen Bauweisen zu euren Planen?
Kluft / Tracht / Uniform;16;48;1;Probenbuch (9), Inspirator (DPBM) (7);pb-unsere-kluft, pb-geschichte-der-buendischen-jugend, pb-die-lilie;DPB: „Kluft“;"Im Probenbuch heißt es „Kluft“ (Probe „Unsere Kluft“); „Tracht“ steht dort nur erklärend.";„Tracht“ und „Uniform“ überall zu „Kluft“ ändern?
Gendersternchen (*in);16;42;3;Inspirator (DPBM) (14), pfadfinder-spiele (2);insp-schmuggler-innen-spiel, insp-gruppenstunde-als-talkshow, insp-der-kaiser-mag;DPBM (Inspirator), pfadfinder-spiele.de;Deine Doku schreibt teils „Gruppenführer*innen“ (README), teils „Gruppenführer“ (Definition).;Welche Schreibweise gilt in der App: „Gruppenführer“, „Gruppenführer und -führerinnen“ oder „*innen“?
Kindergeburtstag / Party / Fasching;16;45;1;Spielewiki (15), pfadfinder-spiele (1);sw-centstapel, sw-partyhochhaus, sw-reise-nach-jerusalem;Spielewiki;Der Anlass passt nicht zum Heimabend, das Spiel selbst oft schon.;Anlass-Erwähnungen streichen oder ganze Elemente aussortieren?
Gruppenleiter / Leiter:in / Teamer / Betreuer;15;37;0;Spielewiki (12), Inspirator (DPBM) (2), pfadfinder-spiele (1);sw-sesselriechen, sw-stationenlauf, sw-teamvorstellung;Jugendarbeit allgemein, DPSG;"Deine Sprache (docs/heimabend-definition.md): „Gruppenführer“; das Probenbuch sagt „Führer/Führerin“.";Alles auf „Gruppenführer“ ändern – oder je nach Stelle „Führung“?
Schule / Klasse / Unterricht;15;23;0;Spielewiki (7), Probenbuch (4), Inspirator (DPBM) (2), eigene (1), pfadfinder-spiele (1);pb-geschichte-der-buendischen-jugend, sw-grashupfer, sw-hannes-liebt;Spielewiki (Schul- und Jugendarbeitskontext);Formulierungen aus der Schule wirken im Heim fremd.;Diese Stellen auf Heimabend-Sprache umschreiben?
Versprechen / Gelöbnis / Aufnahme;14;37;0;Inspirator (DPBM) (8), Probenbuch (6);pb-pfadfindergruss-und-pfadfinderversprechen, pb-der-deutsche-pfadfinderbund, insp-pfadfindersymbolik-vergleichen;verschieden;Probenbuch: „Pfadfinderversprechen“ und „Aufnahme“ (Wildling/Neuling).;Einheitlich „Versprechen“ und „Aufnahme“ schreiben?
Lagerfeuer / Singerunde / Singewettstreit;13;20;3;Inspirator (DPBM) (4), eigene (3), Probenbuch (3), Spielewiki (2), pfadfinder-spiele (1);insp-brataepfel-vom-lagerfeuer, eig-stockbrot-und-lagerfeuer, eig-feuer-machen-wie-die-profis;bündisch, Wortgebrauch verschieden;Im Probenbuch nicht als fester Begriff belegt.;Welchen Begriff benutzt ihr fürs Singen am Feuer – Singerunde, Feuerrunde, etwas anderes?
Meute;10;11;0;Inspirator (DPBM) (9), eigene (1);eig-kochduell-im-hordentopf, insp-digitaler-sippencontest, insp-finde-die-entfuehrte-person;DPSG/DPBM (Wölflingsstufe);Im Probenbuch kommt „Meute“ als Einheit nicht vor.;Wie heißt bei euch die Wölflingsgruppe? Ersetzen durch Horte/Gilde – oder streichen?
Horte / Gilde;9;24;0;Probenbuch (8), Spielewiki (1);pb-organisatorischer-aufbau, pb-geschichte-der-pfadfinder, pb-staendeaufbau-des-dpb;DPB;Beides im Probenbuch belegt (Horte = Jungen, Gilde = Mädchen, je ab 5 Mitglieder).;Bestätigen: benutzt ihr im Alltag wirklich Horte/Gilde – und schreiben wir das in alle Texte?
Fremde Bünde (DPSG, VCP, BdP, DPBM …);8;26;0;Probenbuch (3), Inspirator (DPBM) (3), Spielewiki (1), pfadfinder-spiele (1);pb-die-lilie, pb-geschichte-des-dpb, sw-hugo;fremde Bünde;Als geschichtliche Information in Ordnung, als „bei uns“ falsch. Achtung: „Orden St. Georg“ ist DPB-eigen und darf bleiben.;Nennungen stehen lassen (Geschichte) oder auf den DPB umschreiben?
Alkohol / Trinkspiel;8;38;1;Spielewiki (4), Inspirator (DPBM) (3), Probenbuch (1);sw-dreierschnapsen, sw-schnapsen, sw-bauernschnapsen;Spielewiki;Geht bei Kindern und Jugendlichen gar nicht.;Diese Elemente ersatzlos streichen (in redaktion.json unter „gesperrt“)?
Rover / Ranger / Caravelle;6;11;1;Inspirator (DPBM) (4), Probenbuch (1), pfadfinder-spiele (1);insp-nur-fuer-rover-feuerfestigkeit-testen, pb-geschichte-der-pfadfinder, insp-digitaler-sippencontest;DPSG, VCP, BdP;Im DPB heißen die Älteren „Knappe/Späher“ (Jungen) bzw. „Gildenmädchen/Gildin“ (Mädchen).;Womit ersetzen – „Ältere“, „Knappen/Späher“, oder Stelle streichen?
Trupp / Truppstunde;6;14;0;Spielewiki (2), Probenbuch (2), Inspirator (DPBM) (2);sw-krieg, pb-geschichte-der-pfadfinder, pb-organisatorischer-aufbau;DPB (Einheit ab 10) und DPSG (Stufe);„Trupp“ ist im DPB eine Einheit – „Truppstunde“ dagegen DPSG-Sprache.;„Trupp“ behalten und „Truppstunde“ zu „Heimabend“ ändern?
Pfadi;5;9;1;Inspirator (DPBM) (3), Spielewiki (1), pfadfinder-spiele (1);insp-pfadi-stories, sw-hugo, insp-digitaler-pfadfinder-escape-room;Schweiz, DPSG-Umgangssprache;Umgangssprache, im Probenbuch nicht belegt.;„Pfadi“ ersetzen durch „Pfadfinder“?
Jungenschaft / Mädelschaft vs. Jungschar;5;26;0;Probenbuch (5);pb-geschichte-der-buendischen-jugend, pb-unsere-kluft, pb-organisatorischer-aufbau;DPB („Jungenschaft/Mädelschaft“) vs. kath./ev. „Jungschar“;„Jungenschaft/Mädelschaft“ ist DPB (ab 40). „Jungschar“ ist fremd.;„Jungschar“ ersetzen – wodurch?
Gender-Unterstrich (_in);5;8;0;Inspirator (DPBM) (5);insp-digitaler-sippencontest, insp-was-gehoert-wem, insp-welche-pfadfinder-regel-ist-unwichtig;DPBM (Inspirator);Uneinheitlich zum Rest der Sammlung.;Vereinheitlichen – auf welche Form?
Horde (statt Horte);4;5;1;Inspirator (DPBM) (2), eigene (1), Probenbuch (1);eig-kochduell-im-hordentopf, pb-kochen, insp-brot-backen-ohne-ofen;Schreibfehler / anderes Wort;"„Hordentopf“ ist Kochgeschirr und richtig; „Horde“ als Gruppe wäre falsch.";Fundstellen durchsehen: überall „Hordentopf“ gemeint, oder irgendwo „Horte“?
Fremde Stufenbezeichnungen (Wichtel, Biber …);3;10;0;Spielewiki (2), Inspirator (DPBM) (1);sw-engerl-und-bengerl, sw-schrottwichteln, insp-welche-pfadfinder-regel-ist-unwichtig;DPSG, VCP, BdP;Kommen in euren Ständen nicht vor (Wildling, Neuling, Wölfling, Jungwolf, Knappe, Späher, Gildenmädchen, Gildin).;Auf eure Stände umschreiben oder Stufenangabe ganz weglassen?
Kornett;1;3;0;Probenbuch (1);pb-aufgaben-in-der-gruppe;DPB (Amt in der Gruppe);Im Probenbuch als Amt genannt – passt.;Kornett in der App kurz erklären, damit junge Gruppenführer es verstehen?
Gut Pfad;1;2;0;Inspirator (DPBM) (1);insp-digitales-tabu;DPSG, VCP, BdP;Euer Gruß laut heimabend-definition.md und Probenbuch: „Allzeit bereit“.;Ersetzen durch „Allzeit bereit“?
