familie;id;titel;quelle;kategorie;unterkategorie;dauer_min;dauer_max;vorschlag
Ball- und Wurfspiele;sw-alaska-baseball;Alaska-Baseball;Spielewiki;bewegung_drinnen;ball;10;20;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-ball-im-kafig;Ball im Käfig;Spielewiki;bewegung_drinnen;geschick;5;10;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-ball-uber-die-schnur;Ball über die Schnur;Spielewiki;bewegung_drinnen;ball;10;30;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-ballbewegung;Ballbewegung;Spielewiki;kreis;ball;5;10;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-ballgasse;Ballgasse;Spielewiki;bewegung_drinnen;ball;10;20;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;ps-mischling;Ballraub;pfadfinder-spiele;bewegung_draussen;fangen;15;35;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-ballweitergabe-mit-beinen;Ballweitergabe mit Beinen;Spielewiki;bewegung_drinnen;geschick;10;20;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-ballwurfkette;Ballwurfkette;Spielewiki;ankommen;namen;10;30;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-baumball;Baumball;Spielewiki;bewegung_drinnen;ball;10;20;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-blindenfussball;Blindenfußball;Spielewiki;kooperation;vertrauen;10;30;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-bruchenball;Bruchenball;Spielewiki;bewegung_drinnen;ball;10;20;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-fetzenfussball;Fetzenfußball;Spielewiki;bewegung_drinnen;toben;10;20;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-frisbee-challenge;Frisbee-Challenge;Spielewiki;bewegung_draussen;ball;5;15;Familie durchsehen: behalten oder als Variante anhängen
Ball- und Wurfspiele;sw-frisbee-fussball;Frisbee-Fußball;Spielewiki;bewegung_drinnen;ball;10;30;Familie durchsehen: behalten oder als Variante anhängen
