id;titel;quelle;kategorie;unterkategorie;punkte;rang_in_unterkategorie;empfehlung;warum
sw-alaska-baseball;Alaska-Baseball;Spielewiki;bewegung_drinnen;ball;7;1;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-baumball;Baumball;Spielewiki;bewegung_drinnen;ball;7;2;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-klatschball;Klatschball;Spielewiki;kreis;ball;7;3;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-ballbewegung;Ballbewegung;Spielewiki;kreis;ball;6;4;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-bruchenball;Bruchenball;Spielewiki;bewegung_drinnen;ball;6;5;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-frisbee-challenge;Frisbee-Challenge;Spielewiki;bewegung_draussen;ball;6;6;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-kaiserball;Kaiserball;Spielewiki;bewegung_drinnen;ball;6;7;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-konigsball;Königsball;Spielewiki;bewegung_drinnen;ball;6;8;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-rot-blau-tot;Rot blau tot;Spielewiki;bewegung_drinnen;ball;6;9;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-verliebt-verlobt-verheiratet;Verliebt Verlobt Verheiratet;Spielewiki;bewegung_drinnen;ball;6;10;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-virusball;Virusball;Spielewiki;bewegung_drinnen;ball;6;11;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-zehnerln;Zehnerln;Spielewiki;bewegung_drinnen;ball;6;12;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-ballgasse;Ballgasse;Spielewiki;bewegung_drinnen;ball;5;13;Kern;ausführlich beschrieben, kurz genug für einen Slot, braucht große Gruppe
sw-der-kleine-in-der-mitte;Der Kleine in der Mitte;Spielewiki;bewegung_drinnen;ball;5;14;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-drachenschwanzabschiessen;Drachenschwanzabschießen;Spielewiki;bewegung_drinnen;ball;5;15;Kern;ausführlich beschrieben
sw-frisbee-fussball;Frisbee-Fußball;Spielewiki;bewegung_drinnen;ball;5;16;Reserve (zweite Reihe);ausführlich beschrieben
sw-frisbee-golf;Frisbee-Golf;Spielewiki;bewegung_draussen;ball;5;17;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
